y,Company,CocoaPercent,CompanyLocation,BeanType,BeanOrigin
2.75,328.0,77.0,56.0,6.0,67.0
2.5,193.0,75.0,14.0,12.0,19.0
3.0,125.0,70.0,29.0,11.0,67.0
3.25,305.0,80.0,6.0,12.0,4.0
3.5,39.0,75.0,56.0,12.0,57.0
3.5,54.0,64.0,9.0,12.0,9.0
3.25,157.0,66.0,56.0,11.0,12.0
3.5,229.0,72.0,56.0,12.0,45.0
3.5,274.0,70.0,6.0,11.0,4.0
3.75,335.0,73.0,7.0,12.0,19.0
3.25,1.0,75.0,6.0,8.0,4.0
3.0,121.0,74.0,56.0,12.0,18.0
3.25,343.0,70.0,7.0,8.0,67.0
3.5,240.0,63.0,56.0,6.0,46.0
3.0,314.0,75.0,56.0,8.0,46.0
2.75,138.0,60.0,51.0,12.0,55.0
3.75,302.0,75.0,18.0,6.0,37.0
2.25,218.0,55.0,39.0,12.0,46.0
3.75,318.0,70.0,56.0,12.0,67.0
3.5,302.0,75.0,18.0,6.0,32.0
2.75,318.0,70.0,56.0,11.0,34.0
2.25,319.0,76.0,24.0,11.0,67.0
2.0,216.0,75.0,56.0,12.0,41.0
3.0,358.0,68.0,56.0,12.0,63.0
3.5,235.0,65.0,56.0,8.0,23.0
3.5,345.0,70.0,7.0,12.0,37.0
2.75,198.0,72.0,56.0,12.0,67.0
3.25,206.0,75.0,18.0,12.0,4.0
3.0,267.0,71.0,4.0,6.0,67.0
3.0,30.0,78.0,19.0,11.0,2.0
3.75,174.0,67.0,56.0,7.0,19.0
2.5,83.0,90.0,56.0,12.0,46.0
2.0,53.0,75.0,18.0,12.0,57.0
1.5,338.0,67.0,56.0,8.0,23.0
2.0,326.0,82.0,56.0,12.0,63.0
4.0,288.0,70.0,14.0,12.0,19.0
3.0,118.0,60.0,56.0,8.0,23.0
4.0,97.0,75.0,45.0,8.0,51.0
3.0,166.0,76.0,29.0,12.0,67.0
4.0,18.0,70.0,56.0,6.0,41.0
3.75,364.0,70.0,56.0,11.0,37.0
3.25,342.0,70.0,56.0,12.0,3.0
2.5,9.0,60.0,56.0,12.0,67.0
2.5,21.0,70.0,2.0,12.0,4.0
3.0,53.0,70.0,18.0,12.0,18.0
3.75,337.0,67.0,2.0,12.0,57.0
3.25,369.0,81.0,14.0,8.0,19.0
3.75,399.0,70.0,3.0,12.0,18.0
3.25,13.0,63.0,7.0,12.0,45.0
4.0,379.0,69.0,18.0,12.0,67.0
2.75,93.0,42.0,33.0,12.0,39.0
3.75,125.0,70.0,29.0,6.0,67.0
2.75,84.0,70.0,56.0,12.0,62.0
3.0,297.0,85.0,4.0,6.0,46.0
3.0,107.0,72.0,56.0,11.0,68.0
3.0,379.0,64.0,18.0,6.0,67.0
3.0,363.0,70.0,56.0,3.0,19.0
3.75,127.0,72.0,55.0,12.0,19.0
2.5,192.0,64.0,19.0,12.0,46.0
2.75,36.0,70.0,56.0,12.0,18.0
3.75,95.0,68.0,7.0,8.0,46.0
3.5,331.0,75.0,39.0,6.0,46.0
3.0,297.0,72.0,4.0,6.0,40.0
3.0,179.0,65.0,55.0,11.0,55.0
3.25,315.0,70.0,49.0,12.0,12.0
3.75,190.0,70.0,56.0,12.0,19.0
2.75,173.0,64.0,19.0,12.0,46.0
3.25,338.0,68.0,56.0,12.0,19.0
